,Features,Label,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14
0,Delta_Mean,2,0.251784641149,1.45916992183,1.41485745192,1.26016000148,1.13708622072,2.07117185704,0.262740606247,0.423425847688,1.36781028838,1.06748152701,3.19803191242,2.1439581958,1.84809102124,1.90329058315
1,Theta_Mean,2,0.457258919524,4.12565134766,2.00835134919,2.52516025461,2.22488785615,2.42410823724,0.441928549589,0.837297930536,2.8872108368,2.53790246208,4.24126816859,2.50869753755,3.72267959252,2.8385394089
2,Alpha_Mean,2,0.170475951094,1.18643525538,0.723101451798,0.639199786206,0.502973783894,0.429363812671,0.158004960021,0.200230203434,0.584648186458,0.566731075353,0.654910582811,0.657224012634,0.713006095847,0.772583631453
3,Beta_Mean,2,0.37495913686,2.30160806043,1.11765951662,1.06104522948,1.14190499274,0.927075000529,0.324855679987,0.3471437757,0.875765435195,1.14810645838,1.2457045275,1.30927412336,1.58255143211,1.42145407135
4,Gamma_Mean,2,0.171118414718,0.872184108497,0.634877127805,0.552730368792,0.446927244111,0.416597230304,0.186216691261,0.199607494756,0.493223256043,0.631249511272,0.558297426503,0.597786960809,0.616725216885,0.663497669398
5,Delta_STD,2,0.344055670444,1.40482719286,0.943151938306,0.909852018024,0.832053142378,0.796475777317,0.324666430089,0.354794534422,0.835225242159,1.14771391201,1.03548362327,1.07046955185,1.24428409642,1.13689301311
6,Theta_STD,2,0.182712944571,0.403559885183,0.300815061111,0.271507900842,0.238206039783,0.265762999712,0.148472609269,0.141937387937,0.257775846352,0.389620801902,0.262370223149,0.311001274253,0.379628726729,0.311940346976
7,Alpha_STD,2,0.29183804853,0.718870297553,0.518723280538,0.49086893638,0.485656793214,0.489895689098,0.29625205409,0.259513714382,0.496909679886,0.672850710687,0.504822062308,0.59625060678,0.640473853813,0.589986760781
8,Beta_STD,2,0.151274347517,0.258917666713,0.223005017423,0.21923185416,0.191037370094,0.259310916577,0.166016805559,0.1421833336,0.234453071872,0.295785913787,0.251484998569,0.219459482583,0.288343494783,0.258590527776
9,Gamma_STD,2,0.19250465847,0.449733155383,0.3162405678,0.288353024518,0.329372206836,0.37333112347,0.195579831319,0.21075181093,0.320232121267,0.346340015514,0.353332930957,0.310084149419,0.379143407562,0.337860026123
0,Delta_Mean,2,0.378050977924,5.52477325367,2.50928609173,2.53716163152,1.12176473608,1.41418060039,0.278739004626,0.252793482549,2.08813652179,1.52354032858,3.66758717307,3.0908271194,6.25222876303,4.23945106233
1,Theta_Mean,2,0.799187408714,6.38635048692,3.34717646194,3.70763591164,2.60338366772,1.62529105354,0.390217256728,0.675840536398,2.29888114114,2.73256734541,4.08545871899,3.65287514511,8.1313325621,6.43831482546
2,Alpha_Mean,2,0.270498406135,1.1413063789,0.75657864737,0.516250850858,0.648398984167,0.397741909403,0.190737752493,0.250120410979,0.536377446026,0.775563740727,0.878475244751,0.801362430992,1.22363054653,1.1616248216
3,Beta_Mean,2,0.55949001682,2.01502139865,1.34965791901,1.25770858284,1.1679558883,0.847446140996,0.369138219782,0.568752354273,0.993145517349,1.47429981258,1.49153135893,1.45141423664,2.21457451187,2.09423191917
4,Gamma_Mean,2,0.271342215238,0.854770583331,0.669087282823,0.62980580738,0.439611770376,0.392259435242,0.176711991739,0.26066377819,0.742514310162,0.751591035231,0.679146541366,0.645556081157,0.936594409076,0.912229287694
5,Delta_STD,2,0.481734115168,1.48749272787,1.17829940311,1.01825277139,0.855516745244,0.848261135104,0.339281732584,0.588723449178,1.18961262321,1.40114707416,1.1809175109,1.19963936901,1.48875587811,1.45084251096
6,Theta_STD,2,0.179201111627,0.324898068266,0.316257296075,0.315129328965,0.253078344756,0.282890276021,0.124996732886,0.175908846861,0.387138860938,0.382981936482,0.292519556225,0.334134363919,0.34909967057,0.360079764497
7,Alpha_STD,2,0.322061826768,0.612220816344,0.645919172442,0.568827225473,0.527816670639,0.554098450527,0.220062713794,0.326812182591,0.612400752605,0.689091654272,0.568980842348,0.623504017238,0.648012434341,0.684824357253
8,Beta_STD,2,0.122874024451,0.269910918279,0.226041365,0.208487668458,0.190525273697,0.25528361139,0.136525681206,0.136946374431,0.219104963529,0.27475040595,0.213068597045,0.204957340872,0.221773276954,0.242848583842
9,Gamma_STD,2,0.187972545129,0.313639803469,0.280163238832,0.29343977757,0.262145148543,0.332832744705,0.174417604608,0.195007533723,0.301008849404,0.369133995966,0.266876768229,0.257265908167,0.298263748809,0.318167081331
0,Delta_Mean,1,0.528706330014,1.05502126258,1.33413396905,1.47818367791,0.917426638601,1.04492640418,0.219164095599,0.396519373392,1.04210566075,1.37235645938,5.87654801605,1.35863029536,1.96414652859,2.13421536482
1,Theta_Mean,1,0.8669076304,1.92871421932,1.94583907584,2.7360434856,1.32498430658,2.09117785875,0.279612530749,0.545175980087,2.04158588418,1.9463573849,7.49019821577,2.07452620016,3.04421113162,2.82818665945
2,Alpha_Mean,1,0.208188734458,0.701099633076,0.867166217406,0.637628130982,0.38952090223,0.50689525182,0.0930872562502,0.206114585563,0.480385112819,0.548227910324,1.01916810988,0.759574262186,0.771068370197,0.961682501252
3,Beta_Mean,1,0.507547855106,1.24928958742,1.13998362166,1.08717104989,0.796594469707,1.00658116731,0.214692543311,0.348859106268,0.929881726066,1.11229303815,2.76733020996,1.10183336169,1.55641224458,1.50013013043
